town,Region,population,Galician frac,Bilingual frac.,Slovenian Frac.,S,k,lat,lon
A Arnoia,O Carballiño,1171,0.167,0.75,0.083,0.54,0.8,-8.14,42.26
A Barciela,A Barcala,374,0.192,0.59,0.218,0.49,0.75,-8.45,42.96
A Barrela,Chantada,198,0.222,0.611,0.167,0.54,0.76,-7.81,42.54
A Cañiza,A Paradanta,1907,0.132,0.579,0.289,0.45,0.78,-8.27,42.21
A Chan,Pontevedra,50,0.058,0.481,0.462,0.16,0.8,-8.48,42.47
A Ciadella,Arzúa,83,0.4,0.52,0.08,0.6,0.75,-8.04,43.08
A Ciadella,Arzúa,83,0.4,0.52,0.08,0.6,0.75,-8.04,43.08
A Coruña,A Coruña,244810,0.02,0.475,0.505,0.3,0.78,-8.4,43.37
A Cruz do Incio,A Fonsagrada,237,0.476,0.476,0.048,0.63,0.82,-7.36,42.66
A Devesa,Arzúa,26,0.4,0.52,0.08,0.6,0.75,-8.29,43.01
A Eirexa de Puga,Ourense,280,0.073,0.6,0.327,0.35,0.8,-8,42.32
A Estrada,Tabeirós-Terra De Montes,8479,0.48,0.36,0.16,0.58,0.69,-8.49,42.69
A Feira do Monte,A Ulloa,455,0.154,0.641,0.205,0.5,0.78,-7.56,43.24
A Fonsagrada,A Fonsagrada,1229,0.476,0.476,0.048,0.63,0.82,-7.07,43.12
A Forxa,O Carballiño,23,0.167,0.75,0.083,0.54,0.8,-8,42.37
A Gándara,Xallas,102,0.657,0.286,0.057,0.71,0.85,-9.11,42.77
A Gándara,Arzúa,391,0.4,0.52,0.08,0.6,0.75,-8.13,43.01
A Guarda,A Paradanta,10484,0.132,0.579,0.289,0.45,0.78,-8.87,41.9
A Gudiña,Terra De Celanova,792,0.5,0.467,0.033,0.64,0.76,-7.14,42.06
A Igrexa,Eume,66,0.081,0.435,0.484,0.17,0.83,-7.94,43.5
A Igrexa,Vigo,183,0.039,0.512,0.449,0.24,0.8,-8.45,42.34
A Lagoa,Pontevedra,211,0.058,0.481,0.462,0.16,0.8,-8.54,42.54
A Lama,Pontevedra,249,0.058,0.481,0.462,0.16,0.8,-8.44,42.4
A Laracha,Xallas,2580,0.657,0.286,0.057,0.71,0.85,-8.58,43.25
A Merca,Terra De Celanova,244,0.5,0.467,0.033,0.64,0.76,-7.9,42.22
A Mezquita,Terra De Celanova,380,0.5,0.467,0.033,0.64,0.76,-7.05,42.01
A Peroxa,Ourense,337,0.073,0.6,0.327,0.35,0.8,-7.8,42.44
A Picota,Xallas,354,0.657,0.286,0.057,0.71,0.85,-8.99,42.94
A Pobra de Navia,A Fonsagrada,394,0.476,0.476,0.048,0.63,0.82,-7.01,42.96
A Pobra de Parga,A Ulloa,378,0.154,0.641,0.205,0.5,0.78,-7.84,43.16
A Pobra de Trives,Terra De Caldelas,2191,0.188,0.5,0.313,0.17,0.73,-7.25,42.34
A Pobra do Brollón,Chantada,238,0.222,0.611,0.167,0.54,0.76,-7.39,42.56
A Pobra do Caramiñal,Barbanza,4468,0.282,0.615,0.103,0.62,0.79,-8.94,42.6
A Ponte do Porto,Xallas,886,0.657,0.286,0.057,0.71,0.85,-9.12,43.14
A Pontenova,A Mariña Central,858,0.318,0.545,0.136,0.56,0.76,-7.19,43.35
A Rúa de Valdeorras,Terra De Caldelas,4664,0.188,0.5,0.313,0.17,0.73,-7.11,42.4
A Ramallosa,Vigo,4817,0.039,0.512,0.449,0.24,0.8,-8.81,42.11
A Regueira,A Coruña,248,0.02,0.475,0.505,0.3,0.78,-8.18,43.19
A Seara,A Mariña Central,226,0.318,0.545,0.136,0.56,0.76,-7.41,43.53
A Serra de Outes,Barbanza,1064,0.282,0.615,0.103,0.62,0.79,-8.91,42.84
A Terrachán,Terra De Celanova,446,0.5,0.467,0.033,0.64,0.76,-8.12,41.93
A Veiga,Terra De Caldelas,257,0.188,0.5,0.313,0.17,0.73,-7.02,42.25
A Vila,Terra De Celanova,36,0.5,0.467,0.033,0.64,0.76,-8.04,41.99
A Vila da Igrexa,Eume,93,0.081,0.435,0.484,0.17,0.83,-8,43.62
A Vila de Abade,Arzúa,464,0.4,0.52,0.08,0.6,0.75,-8.61,43.09
A Vilavella,Terra De Celanova,179,0.5,0.467,0.033,0.64,0.76,-7.01,42.04
A Xironda,Terra De Celanova,323,0.5,0.467,0.033,0.64,0.76,-7.64,41.9
Abadín,A Ulloa,116,0.154,0.641,0.205,0.5,0.78,-7.47,43.36
Abegondo,A Coruña,646,0.02,0.475,0.505,0.3,0.78,-8.29,43.23
Agolada,Tabeirós-Terra De Montes,483,0.48,0.36,0.16,0.58,0.69,-8.02,42.76
Agro do Chao,Arzúa,36,0.4,0.52,0.08,0.6,0.75,-8.04,42.85
Aiazo,Arzúa,168,0.4,0.52,0.08,0.6,0.75,-8.28,43.01
Albarellos,Terra De Celanova,509,0.5,0.467,0.033,0.64,0.76,-7.5,41.95
Albixoi,Arzúa,161,0.4,0.52,0.08,0.6,0.75,-8.21,43.09
Aldea de Deva,Terra De Celanova,263,0.5,0.467,0.033,0.64,0.76,-8.13,42.16
Alfoz,A Mariña Central,226,0.318,0.545,0.136,0.56,0.76,-7.42,43.53
Allariz,Terra De Caldelas,3328,0.188,0.5,0.313,0.17,0.73,-7.8,42.19
Almeiras,A Coruña,1037,0.02,0.475,0.505,0.3,0.78,-8.37,43.31
Amiudal,O Carballiño,164,0.167,0.75,0.083,0.54,0.8,-8.26,42.4
Amoeiro,Ourense,426,0.073,0.6,0.327,0.35,0.8,-7.95,42.41
Anceis,A Coruña,1310,0.02,0.475,0.505,0.3,0.78,-8.36,43.28
Andeiro,A Coruña,306,0.02,0.475,0.505,0.3,0.78,-8.34,43.26
Andoio,Arzúa,283,0.4,0.52,0.08,0.6,0.75,-8.58,43.13
Antas de Ulla,A Ulloa,674,0.154,0.641,0.205,0.5,0.78,-7.89,42.78
Anxeriz,Arzúa,490,0.4,0.52,0.08,0.6,0.75,-8.67,43.11
Aranga,A Coruña,520,0.02,0.475,0.505,0.3,0.78,-8.02,43.24
Ardemil,Arzúa,600,0.4,0.52,0.08,0.6,0.75,-8.38,43.13
Ares,Eume,3814,0.081,0.435,0.484,0.17,0.83,-8.24,43.43
Armea,A Coruña,68,0.02,0.475,0.505,0.3,0.78,-8.18,43.27
Armentón,A Coruña,436,0.02,0.475,0.505,0.3,0.78,-8.54,43.29
Arteixo,A Coruña,12098,0.02,0.475,0.505,0.3,0.78,-8.51,43.3
Arzádegos,Terra De Celanova,183,0.5,0.467,0.033,0.64,0.76,-7.32,41.86
Arzúa,Arzúa,6500,0.4,0.52,0.08,0.6,0.75,-8.16,42.93
As Casas dos Montes,Terra De Celanova,159,0.5,0.467,0.033,0.64,0.76,-7.51,41.88
As Chás,Terra De Celanova,125,0.5,0.467,0.033,0.64,0.76,-7.5,41.9
As Encrobas,Arzúa,415,0.4,0.52,0.08,0.6,0.75,-8.4,43.19
As Neves,Eume,230,0.081,0.435,0.484,0.17,0.83,-8.06,43.44
As Neves,A Paradanta,465,0.132,0.579,0.289,0.45,0.78,-8.42,42.09
As Nogais,A Fonsagrada,216,0.476,0.476,0.048,0.63,0.82,-7.11,42.81
As Pontes de García Rodríguez,Eume,9513,0.081,0.435,0.484,0.17,0.83,-7.85,43.45
As Rodrigas (Riotorto),A Ulloa,155,0.154,0.641,0.205,0.5,0.78,-7.26,43.34
Bóveda,Chantada,349,0.222,0.611,0.167,0.54,0.76,-7.48,42.62
Bóveda de Limia,Terra De Celanova,170,0.5,0.467,0.033,0.64,0.76,-7.64,42.16
Baños de Molgas,Terra De Caldelas,375,0.188,0.5,0.313,0.17,0.73,-7.67,42.24
Babío,A Coruña,316,0.02,0.475,0.505,0.3,0.78,-8.25,43.31
Baiona,Vigo,3014,0.039,0.512,0.449,0.24,0.8,-8.85,42.12
Baltar,Terra De Celanova,249,0.5,0.467,0.033,0.64,0.76,-7.72,41.95
Bande,Terra De Celanova,728,0.5,0.467,0.033,0.64,0.76,-7.97,42.03
Bandoxa,A Coruña,166,0.02,0.475,0.505,0.3,0.78,-8.15,43.21
Baralla,A Fonsagrada,706,0.476,0.476,0.048,0.63,0.82,-7.25,42.89
Barbadás,Ourense,258,0.073,0.6,0.327,0.35,0.8,-7.89,42.3
Barbeiros,Arzúa,237,0.4,0.52,0.08,0.6,0.75,-8.34,43.07
Bardaos,Arzúa,502,0.4,0.52,0.08,0.6,0.75,-8.54,43.12
Baredo,Vigo,1117,0.039,0.512,0.449,0.24,0.8,-8.87,42.11
Barrañán,A Coruña,345,0.02,0.475,0.505,0.3,0.78,-8.54,43.3
Barral,O Carballiño,177,0.167,0.75,0.083,0.54,0.8,-8.09,42.29
